Mes ,dia2019,D_Sem_19,Litros_Uy_Goil_2019,dia2020,D_Sem_20,Litros_Uy_Goil_2020,Lu-Do,,GasOil2019,GasOil2020
1,2,Mi,2630205,,,,1,Enero,12454626,13092112
1,3,J,2097363,2,J,2698389,2,Enero,13315824,14856917
1,4,V,2947723,3,V,2746833,3,Enero,15377848,15447481
1,7,L,2683174,4,S,1419155,4,Enero,16439854,16531956
1,8,Ma,1890115,7,Ma,3310910,5,Febrero,17434744,16495988
1,9,Mi,2253919,8,Mi,3181021,6,Febrero,16475297,16644809
1,10,J,2441688,9,J,2830715,7,Febrero,18589232,17237764
1,11,V,3185730,10,V,3051494,8,Febrero,18716716,15758142
1,,,,11,S,717972,9,Marzo,15316690,19293485
1,14,L,2854530,13,L,2931974,10,Marzo,16243261,17385789
1,15,Ma,2370372,14,Ma,2819839,11,Marzo,17526027,13809257
1,16,Mi,1953641,15,Mi,2598963,12,Marzo,20587713,15519755
1,17,J,2736284,16,J,2417889,13,Abril,19483969,12456940
1,18,V,3400997,17,V,3197077,14,Abril,21151006,13802539
1,,,,18,S,891175,15,Abril,18833352,15822065
1,21,L,2658749,20,L,3289919,16,Abril,18522147,20289999
1,22,Ma,2622460,21,Ma,2743296,,,,
1,23,Mi,3011721,22,Mi,2292001,,,,
1,24,J,2210223,23,J,2883982,,,,
1,25,V,4874695,24,V,3406202,,,,
1,,,,25,S,832081,,,,
1,28,L,3574900,27,L,3271451,,,,
2,29,Ma,3189202,28,Ma,2655650,,,,
2,30,Mi,2834171,29,Mi,3072746,,,,
2,31,J,3175492,30,J,3283848,,,,
2,1,V,3666089,31,V,3533495,,,,
2,,,,1,S,714766,,,,
2,4,L,3267282,3,L,3102119,,,,
2,5,Ma,3035140,4,Ma,2986429,,,,
2,6,Mi,2973439,5,Mi,2916667,,,,
2,7,J,3717271,6,J,3025347,,,,
2,8,V,4441612,7,V,3553296,,,,
2,,,,8,S,912130,,,,
2,11,L,3684014,10,L,3369989,,,,
2,12,Ma,2532283,11,Ma,2409396,,,,
2,13,Mi,2473651,12,Mi,2851085,,,,
2,14,J,3466803,13,J,3162175,,,,
2,15,V,4318546,14,V,3771087,,,,
2,,,,15,S,1081077,,,,
2,18,L,2324054,17,L,3130575,,,,
2,19,Ma,2987905,18,Ma,2413679,,,,
2,20,Mi,4115230,19,Mi,2717050,,,,
3,21,J,4355797,20,J,3270749,,,,
3,22,V,4806246,21,V,3748159,,,,
3,,,,22,S,1957552,,,,
3,25,L,3469749,,,,,,,
3,26,Ma,2494669,25,Ma,3890373,,,,
3,27,Mi,2933005,26,Mi,3273211,,,,
3,28,J,3376844,27,J,3676136,,,,
3,1,V,4068370,28,V,3723859,,,,
3,2,S,2374079,29,S,1194563,,,,
3,,,,2,L,3870371,,,,
3,5,Ma,4092236,3,Ma,4256782,,,,
3,6,Mi,3840898,4,Mi,746674,,,,
3,7,J,3940299,5,J,4478671,,,,
3,8,V,3233362,6,V,4570532,,,,
3,9,S,209895,7,S,1370455,,,,
3,11,L,3452464,9,L,4016184,,,,
3,12,Ma,3134221,10,Ma,4431594,,,,
3,13,Mi,2534284,11,Mi,782005,,,,
3,14,J,3059935,12,J,3894787,,,,
3,15,V,4062357,13,V,3438205,,,,
3,,,,14,S,823014,,,,
3,18,L,3468211,16,L,3126527,,,,
4,19,Ma,2745926,17,Ma,2483743,,,,
4,20,Mi,2971335,18,Mi,2217641,,,,
4,21,J,3687797,19,J,2279158,,,,
4,22,V,4652758,20,V,3702188,,,,
4,25,L,4184684,23,L,3568120,,,,
4,26,Ma,4366998,24,Ma,3121024,,,,
4,27,Mi,3175821,25,Mi,2576176,,,,
4,28,J,4047345,26,J,2831987,,,,
4,29,V,4812865,27,V,3422448,,,,
4,1,L,874040,30,L,2805542,,,,
4,2,Ma,4547056,31,Ma,2089881,,,,
4,3,Mi,4369429,1,Mi,1851815,,,,
4,4,J,4543963,2,J,2594418,,,,
4,5,V,5149481,3,V,3115284,,,,
4,8,L,3762069,6,L,2942856,,,,
4,9,Ma,3823204,7,Ma,3016954,,,,
4,10,Mi,4045747,8,Mi,3978921,,,,
4,11,J,4478651,9,J,2712077,,,,
4,12,V,5041335,,,,,,,
4,,,,11,S,1151731,,,,
4,15,L,4697047,13,L,3209659,,,,
,16,Ma,4844171,14,Ma,2424258,,,,
,17,Mi,4816710,15,Mi,2327186,,,,
,,,,16,J,3246288,,,,
,,,,17,V,4418439,,,,
,20,S,4475424,18,S,196235,,,,
,22,L,1942715,20,L,4283706,,,,
,23,Ma,4365253,21,Ma,3996879,,,,
,24,Mi,3778614,22,Mi,3673629,,,,
,25,J,4014609,23,J,3781359,,,,
,26,V,4420956,24,V,4554426,,,,
,29,L,3492351,,,,,,,
,30,Ma,3959034,,,,,,,
